RA,Dec,F606W_mag,F606W_err,F814W_mag,F814W_err,z,Status,Refs
3.556336,-30.387017,20.43,0,19.62,0,0.311,member-spec,"1,4,5"
3.559037,-30.410663,20.91,0,20.12,0,0.298,member-spec,"1,4,5"
3.562508,-30.402406,20.77,0,19.87,0,0.303,member-spec,"1,4,5"
3.565545,-30.387093,20.62,0,19.84,0,0.299,member-spec,"1,4,5"
3.565347,-30.382949,21.11,0,20.22,0,0.303,member-spec,"1,4,5"
3.566355,-30.38826,20.09,0,19.23,0,0.303,member-spec,"1,4,5"
3.569429,-30.384374,20.91,0,20.61,0,0.296,member-spec,"1,2,4"
3.570173,-30.38645,20.22,0,19.35,0,0.297,member-spec,"1,2,3,4"
3.571357,-30.422846,20.64,0,19.87,0,0.303,member-spec,"1,4,5"
3.571501,-30.39043,20.76,0,19.93,0,0.297,member-spec,"1,2,3,4,5"
3.573496,-30.422854,20.11,0,19.23,0,0.319,member-spec,"1,4,5"
3.57394,-30.408833,20.4,0,19.51,0,0.314,member-spec,"1,2,3,4,5"
3.574901,-30.39838,20.26,0,19.29,0,0.317,member-spec,"1,2,3,4,5"
3.575047,-30.428345,19.35,0,18.5,0,0.317,member-spec,"1,4,5"
3.575081,-30.377073,20.23,0,19.35,0,0.314,member-spec,"1,2,3,4,5"
3.578508,-30.403376,19.78,0,19.12,0,0.316,member-spec,"1,3,4,5"
3.578874,-30.397102,21.15,0,20.22,0,0.319,member-spec,"1,3,4,5"
3.579662,-30.409189,19.53,0,18.68,0,0.303,member-spec,"1,2,3,4,5"
3.580711,-30.418875,20.91,0,20.16,0,0.293,member-spec,"1,4,5"
3.580946,-30.3908,20.33,0,19.85,0,0.293,member-spec,"1,2,3,5"
3.582152,-30.398592,19.68,0,18.86,0,0.299,member-spec,"1,4,5"
3.585312,-30.387545,20.21,0,19.54,0,0.301,member-spec,"1,3,4,5"
3.585384,-30.394278,19.75,0,18.81,0,0.32,member-spec,"1,2,4,5"
3.586259,-30.400175,18.53,0,17.64,0,0.299,member-spec,"1,2,4,5"
3.586511,-30.36737,19.79,0,18.95,0,0.301,member-spec,"1,4,5"
3.586558,-30.399393,20.07,0,19.17,0,0.322,member-spec,"1,4,5"
3.587042,-30.404951,21.74,0,20.87,0,0.29,member-spec,"1,3,4,5"
3.587473,-30.371248,20.69,0,19.9,0,0.304,member-spec,"1,4,5"
3.587541,-30.373944,21.28,0,20.46,0,0.296,member-spec,"1,4,5"
3.587661,-30.396397,19.32,0,18.41,0,0.303,member-spec,"1,2,4,5"
3.588151,-30.395082,20.06,0,19.19,0,0.3,member-spec,"1,4,5"
3.587903,-30.400848,20.32,0,19.49,0,0.315,member-spec,"1,4,5"
3.588146,-30.385002,20.98,0,20.13,0,0.298,member-spec,"1,3,4,5"
3.588368,-30.398357,20.29,0,19.4,0,0.318,member-spec,"1,4,5"
3.588671,-30.396071,20.29,0,19.49,0,0.302,member-spec,"1,4,5"
3.589183,-30.387392,20.61,0,19.66,0,0.317,member-spec,"1,3,4,5"
3.589136,-30.409576,21.32,0,20.49,0,0.318,member-spec,"1,3,4,5"
3.589135,-30.41983,20.21,0,19.33,0,0.304,member-spec,"1,4,5"
3.589254,-30.369076,18.32,0,17.7,0,0.3,member-spec,"1,4,5"
3.589218,-30.389839,20.42,0,19.48,0,0.314,member-spec,"1,2,3,4,5"
3.59034,-30.390936,20.99,0,20.1,0,0.298,member-spec,"1,3,4,5"
3.590279,-30.382694,21.68,0,20.76,0,0.302,member-spec,"1,3,4,5"
3.591719,-30.407808,21.33,0,20.58,0,0.319,member-spec,"1,3,4,5"
3.59204,-30.405725,18.24,0,17.33,0,0.318,member-spec,"1,2,4,5"
3.592507,-30.404633,19.42,0,18.55,0,0.315,member-spec,"1,4,5"
