RA,Dec,F606W_mag,F606W_err,F814W_mag,F814W_err,z,Status,Refs
64.032873,-24.106531,20.99,0,20.42,0,0.391,member-spec,"1,7"
64.038611,-24.107521,23.42,0.01,22.69,0.01,0.394,member-spec,"1,7"
64.049977,-24.101865,20.94,0,20.02,0,0.393,member-spec,"1,2,7"
64.022126,-24.101886,20.98,0,20.29,0,0.395,member-spec,"1,5,7"
64.014867,-24.098129,20.11,0,19.07,0,0.4,member-spec,"1,2,5,6,7"
64.037945,-24.10469,22.26,0,21.45,0,0.399,member-spec,"1,6,7"
64.021923,-24.103808,22.35,0.01,21.57,0.01,0.394,member-spec,"1,5,7"
64.037422,-24.101958,21.3,0.01,20.35,0,0.399,member-spec,"1,5,6,7"
64.014779,-24.099316,21.13,0,20.16,0,0.395,member-spec,"1,5,6,7"
64.019339,-24.099037,21.69,0.01,20.8,0,0.396,member-spec,"1,5,7"
64.011533,-24.093803,20.02,0,18.97,0,0.401,member-spec,"1,5,6,7"
64.015847,-24.098028,22,0,21.13,0.01,0.393,member-spec,"1,5,6,7"
64.015786,-24.095544,22.37,0,21.83,0.01,0.402,member-spec,"1,5,6,7"
64.021725,-24.094173,20.96,0,19.96,0,0.397,member-spec,"1,5,7"
64.05545,-24.097551,23.61,0.01,23.13,0.02,0.404,member-spec,"1,5,6,7"
64.017653,-24.090607,21.14,0.01,20.57,0,0.394,member-spec,"1,5,6,7"
64.019862,-24.095849,22.22,0.01,21.35,0,0.391,member-spec,"1,5,6,7"
64.055148,-24.095239,22.9,0.01,22.4,0.01,0.401,member-spec,"1,5,6,7"
64.019194,-24.096141,22.58,0.01,21.68,0,0.394,member-spec,"1,5,6,7"
64.048477,-24.095379,23.07,0.01,22.53,0,0.404,member-spec,"1,4,5,6,7"
64.022018,-24.089027,20.37,0,19.35,0,0.394,member-spec,"1,2,4,5,7"
64.010368,-24.094698,22.2,0.01,21.29,0.01,0.399,member-spec,"1,5,6,7"
64.024979,-24.091664,21.53,0.01,20.84,0,0.394,member-spec,"1,5,7"
64.037834,-24.093794,22.08,0,21.25,0,0.393,member-spec,"1,3,4,5,6,7"
64.02315,-24.094568,23.98,0.03,23.08,0.01,0.395,member-spec,"1,5,7"
64.01709,-24.089554,20.76,0,19.76,0,0.396,member-spec,"1,2,5,6,7"
64.014866,-24.092359,21.6,0,20.68,0,0.394,member-spec,"1,5,6,7"
64.032042,-24.092467,21.39,0.01,20.39,0,0.394,member-spec,"1,5,7"
64.043312,-24.089287,20.82,0.01,19.86,0,0.401,member-spec,"1,3,5,7"
64.022659,-24.089804,21.36,0,20.35,0,0.406,member-spec,"1,4,5,7"
64.054229,-24.084729,20.04,0,19.01,0,0.406,member-spec,"1,5,6,7"
64.011364,-24.085871,20.83,0,19.81,0,0.396,member-spec,"1,2,5,6,7"
64.031147,-24.08909,23.89,0.03,23.1,0.01,0.399,member-spec,"1,5,7"
64.046356,-24.087452,22.12,0.01,21.02,0.01,0.407,member-spec,"1,3,5,7"
64.00911,-24.088767,23.75,0.02,23.12,0.02,0.38,member-spec,"1,5,6,7"
64.025475,-24.085096,22.14,0,21.15,0,0.393,member-spec,"1,3,4,5,7"
64.032008,-24.077314,18.26,0,17.34,0,0.396,member-spec,"1,2,5,7"
64.036866,-24.080669,20.12,0,19.15,0,0.403,member-spec,"1,3,5,7"
64.050728,-24.084906,21.98,0,20.99,0,0.396,member-spec,"1,3,4,5,6,7"
64.008412,-24.082702,21.47,0,20.59,0,0.401,member-spec,"1,2,5,6,7"
64.022212,-24.085264,22.9,0.02,22,0.01,0.4,member-spec,"1,3,5,7"
64.047859,-24.083832,23.3,0.01,22.39,0,0.394,member-spec,"1,3,4,5,6,7"
64.058628,-24.083111,22.98,0.01,22.16,0.01,0.399,member-spec,"1,5,6,7"
64.044106,-24.082882,23.25,0.01,22.25,0,0.401,member-spec,"1,3,4,5,6,7"
64.039347,-24.076828,20.09,0,19.05,0,0.4,member-spec,"1,3,5,7"
64.022109,-24.082613,23.58,0.03,22.62,0.01,0.397,member-spec,"1,3,5,7"
64.005808,-24.078549,21.42,0,20.61,0,0.394,member-spec,"1,2,6,7"
64.038158,-24.06746,18.78,0,17.62,0,0.4,member-spec,"1,2,5,7"
64.0438,-24.078619,21.17,0,20.13,0,0.4,member-spec,"1,3,4,5,6,7"
64.033836,-24.080561,23.3,0.01,22.3,0,0.402,member-spec,"1,4,5"
64.029373,-24.07901,21.89,0,20.94,0,0.402,member-spec,"1,3,4,5,7"
64.035225,-24.077242,21.66,0,20.75,0,0.403,member-spec,"1,3,4,5,7"
64.030439,-24.078407,21.52,0.01,20.57,0,0.404,member-spec,"1,3,5,7"
64.044858,-24.073521,19.87,0,18.94,0,0.403,member-spec,"1,2,3,5,6,7"
64.063776,-24.07707,23.07,0.02,22.3,0.01,0.395,member-spec,"1,5,6,7"
64.020552,-24.077016,21.75,0.01,20.76,0,0.402,member-spec,"1,3,5,7"
64.026718,-24.076387,22.76,0.01,21.82,0,0.396,member-spec,"1,3,4,5,6,7"
64.068854,-24.075478,22.52,0.01,21.61,0.01,0.401,member-spec,"1,5,6,7"
64.03186,-24.072073,22.09,0.01,21.06,0,0.4,member-spec,"1,3,4,5,7"
64.016754,-24.077227,24.08,0.01,23.33,0,0.41,member-spec,"1,4,5,6,7"
64.034709,-24.071595,20.24,0.01,19.44,0.01,0.401,member-spec,"1,2,3,5,7"
64.034203,-24.073835,23.04,0.01,22.08,0,0.392,member-spec,"1,3,4"
64.019104,-24.070832,19.56,0,18.92,0,0.411,member-spec,"1,3,5,6,7"
64.032532,-24.073565,23.47,0.01,22.39,0,0.404,member-spec,"1,3,4,7"
64.036797,-24.072254,22.65,0.01,21.63,0,0.394,member-spec,"1,3,4,5,6"
64.038239,-24.071762,21.28,0,20.23,0,0.396,member-spec,"1,3,4,5,7"
